Accession,description,Group,concentration,Method,Alternative,P value,Log2FC
2357,P68371,Tubulin beta-4B chain [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.208940189,-0.859121203
2358,P68371,Tubulin beta-4B chain [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.471027156,-0.418623413
2359,P68371,Tubulin beta-4B chain [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.00352325,-0.176321651
2360,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,1.15E-05,-0.607972181
2361,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,6.98E-06,-1.974092057
2362,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,2.39E-06,-2.878024172
2363,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,7.92E-05,-1.150633925
2364,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,5.38E-06,-1.18396904
2365,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000406726,-1.377193934
2366,P68371,Tubulin beta-4B chain [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,1.67E-05,-2.230554892
2367,P68371,Tubulin beta-4B chain [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.024880248,-0.115460707
2368,P68371,Tubulin beta-4B chain [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,3.47E-05,-1.47665845
2369,P68371,Tubulin beta-4B chain [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.065069163,-1.735557885
2370,P68371,Tubulin beta-4B chain [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,7.32E-06,-1.687194763
2371,P68371,Tubulin beta-4B chain [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.004518612,-1.08433567
2372,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,7.11E-07,-2.994843093
2373,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.02897968,0.113777999
2374,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,3.77E-07,-2.577015413
2375,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.000162197,-1.728359063
2376,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.001445093,-0.544815345
2377,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.030075228,-0.362925648
2378,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,2.24E-05,-1.121028067
2379,P68371,Tubulin beta-4B chain [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.000312179,-0.666031674
2380,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.015072576,0.168426978
2381,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,3.75E-05,1.072354867
2382,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,2.08E-05,0.969983122
2383,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,3.38E-05,1.362633634
2384,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.001292253,0.42751425
2385,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.065882938,0.102485934
2386,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,5.90E-05,0.768206045
2387,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000332399,4.560334603
2388,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.40596723,-0.036024753
2389,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,4.47E-05,0.842283944
2390,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,6.43E-05,1.17267396
2391,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.011945042,-0.251870937
2392,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000459966,0.466449971
2393,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.016852892,0.171098101
2394,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.000214151,0.569889614
2395,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,5.68E-06,1.022990939
2396,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.001800678,0.404174548
2397,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.00447997,0.359279429
2398,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.000210605,0.728308191
2399,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.004138496,0.326575634
2400,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,2.99E-05,0.74065383
2401,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.020870594,0.1543164
2402,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.001264052,-1.055104009
2403,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.000695388,0.668630919
2404,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,8.87E-05,0.608072175
2405,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.008615922,0.208113524
2406,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.000729121,0.872667543
2407,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.683578611,-0.019000323
2408,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.000404365,-2.169991615
2409,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.002613449,0.558610295
2410,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.004246811,0.536985523
2411,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,2.78E-06,1.838312443
2412,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.001403673,0.208273402
2413,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.021736394,0.09133783
2414,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.517997366,0.020356754
2415,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.005802899,0.392985153
2416,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000209316,0.412980732
2417,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.005784338,0.134316183
2418,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.00056519,0.432208286
2419,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.021051134,0.25480623
2420,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.001685431,0.190727418
2421,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000101955,0.358354901
2422,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000357621,0.274494526
2423,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,1.33E-05,0.58009455
2424,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,1.40E-05,0.590906275
2425,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,4.78E-05,0.470265998
2426,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,4.40E-05,0.430814601
2427,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.01563796,0.101010379
2428,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000259588,-0.505109613
2429,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.000157293,0.459824528
2430,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.00810355,0.125778568
2431,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.000875642,-0.275900799
2432,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.000362628,0.516267903
2433,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,2.84E-05,0.958549945
2434,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.000242067,3.572550684
2435,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.000360866,0.310964145
2436,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.1501406,-0.142698155
2437,P07225,Vitamin K-dependent protein S [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.00026351,0.538163722
2438,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,3.83E-07,-1.85578453
2439,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,3.63E-05,-0.924289518
2440,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,7.13E-07,-1.075871192
2441,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,8.85E-07,-1.122545294
2442,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,8.32E-07,-1.789634449
2443,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,2.89E-06,-2.432019473
2444,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,1.18E-05,-1.642118776
2445,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,6.34E-05,-0.221228155
2446,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.005053424,-0.258782552
2447,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000475378,0.345027024
2448,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,9.40E-05,-1.480524834
2449,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,3.10E-05,-0.603698216
2450,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.23494549,-0.399924854
2451,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.069123406,-1.162314494
2452,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,6.88E-05,-0.293743351
2453,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,7.49E-05,-1.638672701
2454,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.00054454,-2.141694669
2455,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000103489,-1.391649696
2456,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,1.25E-05,-1.563545211
2457,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.000848379,-2.136712091
2458,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.003751391,-0.427693736
2459,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,1.88E-07,-2.236618397
2460,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,4.98E-07,-1.741530661
2461,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.097628149,-0.047928795
2462,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.003186849,-0.07680177
2463,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,2.18E-05,-0.63876135
2464,Q9BQE3,Tubulin alpha-1C chain [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.141201364,-0.30475325
2465,P00450,Ceruloplasmin [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.275761954,0.099338029
2466,P00450,Ceruloplasmin [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.000386162,0.739518899
2467,P00450,Ceruloplasmin [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,1.92E-05,1.341668473
2468,P00450,Ceruloplasmin [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000290876,1.008616394
2469,P00450,Ceruloplasmin [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.004218979,0.413723549
2470,P00450,Ceruloplasmin [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.090515593,0.164854887
2471,P00450,Ceruloplasmin [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.025546784,-0.367308645
2472,P00450,Ceruloplasmin [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,3.89E-05,1.065980709
2473,P00450,Ceruloplasmin [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000652031,0.673783461
2474,P00450,Ceruloplasmin [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000236026,0.775242432
2475,P00450,Ceruloplasmin [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.007596846,0.834488727
2476,P00450,Ceruloplasmin [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000700114,0.586504743
2477,P00450,Ceruloplasmin [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000292241,0.747359808
2478,P00450,Ceruloplasmin [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000254438,0.802432367
2479,P00450,Ceruloplasmin [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.018890577,0.308209779
2480,P00450,Ceruloplasmin [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.00022956,0.907053948
2481,P00450,Ceruloplasmin [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.586644647,0.038036309
2482,P00450,Ceruloplasmin [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.129970712,-0.147936633
2483,P00450,Ceruloplasmin [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.027913531,0.235811875
2484,P00450,Ceruloplasmin [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.396504302,0.073800807
2485,P00450,Ceruloplasmin [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.218346564,-0.100756191
2486,P00450,Ceruloplasmin [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.067304527,-0.202598628
2487,P00450,Ceruloplasmin [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.000784445,1.099743258
2488,P00450,Ceruloplasmin [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.605718353,-0.036003065
2489,P00450,Ceruloplasmin [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.012388305,0.349683781
2490,P00450,Ceruloplasmin [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.000156019,1.629231709
2491,P00450,Ceruloplasmin [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.012663055,0.336058507
2492,P00450,Ceruloplasmin [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.005661369,0.483132712
2493,P00450,Ceruloplasmin [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.000137766,0.850660622
2494,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.002359727,-1.202690967
2495,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.003141747,-1.04930874
2496,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.00426753,-1.345179478
2497,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.032409863,-0.418531713
2498,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.010577537,-0.64870515
2499,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.002140958,0.703099837
2500,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.005611523,-0.828135548
2501,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.27751284,0.122659584
2502,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.225758228,0.163653828
2503,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.003218474,0.597426738
2504,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.213766374,-0.174535031
2505,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.146062589,0.220393249
2506,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.249658802,0.152857917
2507,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.849915382,-0.019664616
2508,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.019405783,-0.518098733
2509,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.727143064,-0.037368815
2510,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.018279576,-0.683771882
2511,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.002465259,-1.327988577
2512,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.563350405,-0.077583698
2513,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.789941288,-0.101477039
2514,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.001102766,-1.679075218
2515,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.010202445,-0.653335731
2516,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.001750315,-1.524304619
2517,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.00527055,-0.98637403
2518,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.147718137,0.203677905
2519,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.041860359,-0.375742746
2520,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.016652293,-0.633117038
2521,P0DOX2,Immunoglobulin alpha-2 heavy chain [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.236028229,-0.19996519
2522,O14791,Apolipoprotein L1 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.225341751,-0.06951211
2523,O14791,Apolipoprotein L1 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.078627036,0.066518202
2524,O14791,Apolipoprotein L1 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.085792984,0.113644102
2525,O14791,Apolipoprotein L1 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,5.52E-05,0.549600727
2526,O14791,Apolipoprotein L1 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.00376007,0.532647341
2527,O14791,Apolipoprotein L1 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,4.28E-07,1.071733444
2528,O14791,Apolipoprotein L1 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.517611657,0.023782766
2529,O14791,Apolipoprotein L1 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,1.54E-05,0.936841486
2530,O14791,Apolipoprotein L1 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.007118016,0.118201312
2531,O14791,Apolipoprotein L1 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,2.40E-06,0.6280948
2532,O14791,Apolipoprotein L1 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,3.05E-06,0.80660793
2533,O14791,Apolipoprotein L1 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.001184683,0.231304504
2534,O14791,Apolipoprotein L1 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000666609,0.527103583
2535,O14791,Apolipoprotein L1 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000316738,0.400534268
2536,O14791,Apolipoprotein L1 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.005329676,0.296033689
2537,O14791,Apolipoprotein L1 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.00041926,0.553616211
2538,O14791,Apolipoprotein L1 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,5.81E-05,0.317438707
2539,O14791,Apolipoprotein L1 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.019979108,0.296350133
2540,O14791,Apolipoprotein L1 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.228746882,-0.073873837
2541,O14791,Apolipoprotein L1 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,1.09E-05,1.51584109
2542,O14791,Apolipoprotein L1 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,1.06E-05,0.449110429
2543,O14791,Apolipoprotein L1 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,3.22E-06,0.828095222
2544,O14791,Apolipoprotein L1 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,2.64E-09,2.594860143
2545,O14791,Apolipoprotein L1 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.030576539,-0.238744013
2546,O14791,Apolipoprotein L1 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.030092877,0.250045447
2547,O14791,Apolipoprotein L1 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,1.11E-07,1.739313284
2548,O14791,Apolipoprotein L1 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.000597448,0.263376563
